tournament_year,match_id,minute,stoppage_minute,display_minute,player,team,opponent,stage,stage_group,is_knockout,is_penalty,is_own_goal
1982,M-1982-22,55,0,55,Walter Schachner,Austria,Algeria,group stage,Group,false,false,false
1982,M-1982-22,67,0,67,Hans Krankl,Austria,Algeria,group stage,Group,false,false,false
1982,M-1982-23,31,0,31,Bernard Genghini,France,Kuwait,group stage,Group,false,false,false
1982,M-1982-23,43,0,43,Michel Platini,France,Kuwait,group stage,Group,false,false,false
1982,M-1982-23,48,0,48,Didier Six,France,Kuwait,group stage,Group,false,false,false
1982,M-1982-23,75,0,75,Abdullah Al-Buloushi,Kuwait,France,group stage,Group,false,false,false
1982,M-1982-23,89,0,89,Maxime Bossis,France,Kuwait,group stage,Group,false,false,false
1982,M-1982-24,10,0,10,Gerry Armstrong,Northern Ireland,Honduras,group stage,Group,false,false,false
1982,M-1982-24,60,0,60,Antonio Laing,Honduras,Northern Ireland,group stage,Group,false,false,false
1982,M-1982-25,55,0,55,Włodzimierz Smolarek,Poland,Peru,group stage,Group,false,false,false
1982,M-1982-25,58,0,58,Grzegorz Lato,Poland,Peru,group stage,Group,false,false,false
1982,M-1982-25,61,0,61,Zbigniew Boniek,Poland,Peru,group stage,Group,false,false,false
1982,M-1982-25,68,0,68,Andrzej Buncol,Poland,Peru,group stage,Group,false,false,false
1982,M-1982-25,76,0,76,Włodzimierz Ciołek,Poland,Peru,group stage,Group,false,false,false
1982,M-1982-25,83,0,83,Guillermo La Rosa,Peru,Poland,group stage,Group,false,false,false
1982,M-1982-26,27,0,27,József Varga,Hungary,Belgium,group stage,Group,false,false,false
1982,M-1982-26,76,0,76,Alexandre Czerniatynski,Belgium,Hungary,group stage,Group,false,false,false
1982,M-1982-27,15,0,15,Joe Jordan,Scotland,Soviet Union,group stage,Group,false,false,false
1982,M-1982-27,59,0,59,Aleksandr Chivadze,Soviet Union,Scotland,group stage,Group,false,false,false
1982,M-1982-27,84,0,84,Ramaz Shengelia,Soviet Union,Scotland,group stage,Group,false,false,false
1982,M-1982-27,86,0,86,Graeme Souness,Scotland,Soviet Union,group stage,Group,false,false,false
1982,M-1982-28,60,0,60,Francesco Graziani,Italy,Cameroon,group stage,Group,false,false,false
1982,M-1982-28,61,0,61,Grégoire M'Bida,Cameroon,Italy,group stage,Group,false,false,false
1982,M-1982-29,22,0,22,Daniel Passarella,Argentina,El Salvador,group stage,Group,false,true,false
1982,M-1982-29,54,0,54,Daniel Bertoni,Argentina,El Salvador,group stage,Group,false,false,false
1982,M-1982-30,28,0,28,not applicable Zico,Brazil,New Zealand,group stage,Group,false,false,false
1982,M-1982-30,31,0,31,not applicable Zico,Brazil,New Zealand,group stage,Group,false,false,false
1982,M-1982-30,64,0,64,not applicable Falcão,Brazil,New Zealand,group stage,Group,false,false,false
1982,M-1982-30,70,0,70,not applicable Serginho,Brazil,New Zealand,group stage,Group,false,false,false
1982,M-1982-31,7,0,7,Salah Assad,Algeria,Chile,group stage,Group,false,false,false
1982,M-1982-31,31,0,31,Salah Assad,Algeria,Chile,group stage,Group,false,false,false
1982,M-1982-31,35,0,35,Tedj Bensaoula,Algeria,Chile,group stage,Group,false,false,false
1982,M-1982-31,59,0,59,Miguel Ángel Neira,Chile,Algeria,group stage,Group,false,true,false
1982,M-1982-31,73,0,73,Juan Carlos Letelier,Chile,Algeria,group stage,Group,false,false,false
1982,M-1982-32,66,0,66,Didier Six,France,Czechoslovakia,group stage,Group,false,false,false
1982,M-1982-32,84,0,84,Antonín Panenka,Czechoslovakia,France,group stage,Group,false,true,false
1982,M-1982-33,88,0,88,Vladimir Petrović,Yugoslavia,Honduras,group stage,Group,false,true,false
1982,M-1982-34,10,0,10,Horst Hrubesch,West Germany,Austria,group stage,Group,false,false,false
1982,M-1982-35,27,0,27,Trevor Francis,England,Kuwait,group stage,Group,false,false,false
1982,M-1982-36,47,0,47,Gerry Armstrong,Northern Ireland,Spain,group stage,Group,false,false,false
1982,M-1982-37,39,0,39,Bernard Genghini,France,Austria,second group stage,Group,false,false,false
1982,M-1982-38,4,0,4,Zbigniew Boniek,Poland,Belgium,second group stage,Group,false,false,false
1982,M-1982-38,26,0,26,Zbigniew Boniek,Poland,Belgium,second group stage,Group,false,false,false
1982,M-1982-38,53,0,53,Zbigniew Boniek,Poland,Belgium,second group stage,Group,false,false,false
1982,M-1982-39,57,0,57,Marco Tardelli,Italy,Argentina,second group stage,Group,false,false,false
1982,M-1982-39,67,0,67,Antonio Cabrini,Italy,Argentina,second group stage,Group,false,false,false
1982,M-1982-39,83,0,83,Daniel Passarella,Argentina,Italy,second group stage,Group,false,false,false
1982,M-1982-41,27,0,27,Billy Hamilton,Northern Ireland,Austria,second group stage,Group,false,false,false
1982,M-1982-41,50,0,50,Bruno Pezzey,Austria,Northern Ireland,second group stage,Group,false,false,false
1982,M-1982-41,68,0,68,Reinhold Hintermaier,Austria,Northern Ireland,second group stage,Group,false,false,false
